Comment,Designator,Footprint,LCSC Part # (optional)
100nF,"C1,C2,C3,C9,C10,C11,C12,C13,C14,C15,C17,C19,C20",C0402,C1525
1uF,"C4,C5,C8",C0402,C52923
22pF,"C6,C7",C0402,C1555
4.7uF,"C16,C18",C0402,C23733
10KOHMS,"R1,R2,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59",R0402,C25744
10KOHMSx4,"R3,R4,R5,R6,R7,R8,R9,R10",RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,C29718
TS-1109S-B-B,"SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW28,SW29,SW30,SW31,SW32,SW33,SW34",SW-SMD_4P-L4.5-W4.5-P3.00-LS7.0,C480315
16MHZ,"X1",OSC-SMD_4P-L3.2-W2.5-BL,C13738
MCP23S17T-E/ML,"U1,U2,U3,U5",QFN-28_L6.0-W6.0-P0.65-BL-EP3.7,C629442
STM32F411CCU6TR,"U4",QFN-48_L7.0-W7.0-P0.50-BL-EP5.1,C190642
MCP1703AT-3302E/CB,"U6",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C144183
SLLB510100,"SW1,SW27",SW-SMD_SLLB510100,C125039
ZX62-B-5PA(33),"J5",MICRO-USB-SMD_ZX62-B-5PA,C132561
EC12D1524403,"EC1,EC3,EC5",SW-TH_EC12D1524403,C112349
EC11EBB24C03,"EC2,EC4,EC6,EC7,EC9",SW-TH_EC11EBB24C03,C470790
RKJXT1F42001,"EC8",SW-TH_RKJXT1F42001,C160841
